1000 14 10
2000 15 9
3000 15 9
4000 15 9
5000 17 7
6000 18 6
8000 17 7
9000 17 7
10000 15 9
11000 15 9
12000 16 8
13000 15 9
14000 15 9
15000 14 10
16000 14 10
17000 16 8
25000 16 8
26000 18 6
27000 15 9
28000 18 6
29000 16 8
31000 17 7
36000 12 12
37000 18 6
40000 15 9
46000 12 12
48000 16 8
50000 14 10
52000 12 12
56000 13 11
57000 13 11
59000 12 12
60000 13 11
61000 17 7
62000 15 9
63000 15 9
64000 15 9
65000 13 11
70000 12 12
72000 12 12
73000 12 12
90000 12 12
91000 13 11
94000 15 9
97000 16 8
101000 14 10
103000 18 6
105000 14 10
106000 13 11
107000 19 5
108000 18 6
109000 18 6
110000 14 10
112000 12 12
116000 12 12
117000 12 12
121000 14 10
122000 18 6
123000 19 5
124000 14 10
125000 14 10
128000 15 9
130000 18 6
133000 19 5
134000 15 9
135000 20 4
136000 12 12
139000 19 5
140000 19 5
144000 12 12
147000 12 12
152000 14 10
154000 12 12
155000 20 4
157000 15 9
158000 12 12
159000 14 10
160000 15 9
161000 14 10
162000 13 11
163000 13 11
164000 13 11
165000 15 9
166000 13 11
167000 13 11
168000 13 11
169000 12 12
170000 12 12
171000 12 12
172000 12 12
173000 15 9
174000 14 10
175000 13 11
176000 12 12
177000 12 12
178000 14 10
179000 14 10
180000 12 12
181000 12 12
182000 12 12
184000 12 12
187000 12 12
188000 12 12
189000 12 12
191000 12 12
192000 12 12
193000 13 11
194000 12 12
195000 12 12
196000 12 12
197000 12 12
198000 17 7
205000 14 10
214000 12 12
218000 12 12
223000 15 9
236000 16 8
241000 18 6
242000 13 11
243000 15 9
244000 20 4
245000 14 10
252000 15 9
254000 15 9
255000 15 9
265000 19 5
266000 17 7
267000 19 5
270000 19 5
271000 17 7
272000 18 6
273000 17 7
274000 20 4
275000 20 4
276000 14 10
277000 18 6
278000 12 12
279000 12 12
280000 22 2
281000 21 3
282000 21 3
283000 21 3
284000 14 10
285000 20 4
286000 13 11
287000 14 10
288000 12 12
289000 19 5
290000 20 4
294000 12 12
295000 18 6
297000 18 6
300000 18 6
301000 18 6
302000 16 8
303000 18 6
304000 19 5
305000 17 7
306000 17 7
307000 19 5
308000 18 6
309000 18 6
310000 21 3
311000 18 6
312000 21 3
313000 20 4
314000 20 4
315000 18 6
316000 16 8
317000 20 4
319000 17 7
320000 16 8
321000 19 5
322000 17 7
323000 21 3
324000 17 7
325000 19 5
326000 21 3
327000 21 3
328000 20 4
329000 18 6
330000 21 3
331000 20 4
332000 21 3
333000 19 5
334000 15 9
335000 16 8
336000 18 6
337000 19 5
338000 17 7
339000 18 6
340000 14 10
341000 18 6
342000 20 4
343000 12 12
345000 19 5
346000 18 6
352000 13 11
354000 19 5
355000 20 4
356000 19 5
357000 18 6
358000 20 4
359000 20 4
360000 20 4
361000 20 4
362000 20 4
363000 19 5
364000 19 5
365000 17 7
366000 18 6
367000 19 5
368000 19 5
369000 21 3
370000 21 3
371000 21 3
372000 18 6
373000 16 8
374000 20 4
375000 19 5
376000 18 6
377000 19 5
378000 19 5
379000 19 5
380000 13 11
381000 16 8
383000 16 8
385000 19 5
386000 21 3
388000 19 5
389000 12 12
390000 18 6
391000 16 8
392000 15 9
393000 19 5
394000 18 6
395000 17 7
396000 20 4
397000 19 5
398000 20 4
399000 19 5
400000 19 5
401000 19 5
405000 19 5
407000 21 3
408000 18 6
409000 14 10
410000 19 5
411000 19 5
412000 20 4
413000 14 10
414000 17 7
415000 22 2
416000 21 3
417000 21 3
418000 22 2
419000 13 11
420000 13 11
421000 22 2
422000 22 2
423000 21 3
424000 22 2
425000 21 3
426000 19 5
427000 21 3
428000 17 7
429000 19 5
430000 19 5
431000 19 5
432000 17 7
433000 15 9
434000 19 5
435000 21 3
436000 20 4
437000 18 6
438000 22 2
439000 13 11
440000 18 6
441000 15 9
442000 13 11
443000 19 5
444000 18 6
446000 15 9
447000 17 7
448000 13 11
449000 13 11
450000 15 9
451000 18 6
452000 13 11
453000 15 9
454000 15 9
456000 13 11
457000 15 9
459000 20 4
460000 15 9
461000 13 11
466000 18 6
467000 13 11
468000 15 9
469000 13 11
472000 12 12
473000 15 9
